word 	 #docs it exists in 	 doc names
a	4	glacier-cairn.txt, herbarium-press.txt, letterpress-proof.txt, tide-gauge.txt, 
above	1	glacier-cairn.txt, 
against	1	letterpress-proof.txt, 
and	1	letterpress-proof.txt, 
bed	1	letterpress-proof.txt, 
between	1	herbarium-press.txt, 
blotters	1	herbarium-press.txt, 
book	1	glacier-cairn.txt, 
by	1	tide-gauge.txt, 
cairn	1	glacier-cairn.txt, 
chase	1	letterpress-proof.txt, 
clean	1	herbarium-press.txt, 
datum	1	tide-gauge.txt, 
dries	1	herbarium-press.txt, 
dry	1	glacier-cairn.txt, 
faces	1	glacier-cairn.txt, 
flat	1	herbarium-press.txt, 
from	1	letterpress-proof.txt, 
furniture	1	letterpress-proof.txt, 
gauge	1	tide-gauge.txt, 
genus	1	herbarium-press.txt, 
glacier	1	glacier-cairn.txt, 
hides	1	tide-gauge.txt, 
holds	1	letterpress-proof.txt, 
hut	1	glacier-cairn.txt, 
icefall	1	glacier-cairn.txt, 
in	2	herbarium-press.txt, tide-gauge.txt, 
keeps	1	herbarium-press.txt, 
label	1	herbarium-press.txt, 
lock	1	letterpress-proof.txt, 
mark	1	glacier-cairn.txt, 
moraine	1	glacier-cairn.txt, 
on	1	tide-gauge.txt, 
packet	1	herbarium-press.txt, 
pier	1	tide-gauge.txt, 
press	1	herbarium-press.txt, 
proof	1	letterpress-proof.txt, 
quoins	1	letterpress-proof.txt, 
reads	1	tide-gauge.txt, 
second	1	glacier-cairn.txt, 
shows	1	letterpress-proof.txt, 
silica	1	herbarium-press.txt, 
sits	1	tide-gauge.txt, 
slack	1	tide-gauge.txt, 
staff	1	tide-gauge.txt, 
stays	2	glacier-cairn.txt, herbarium-press.txt, 
stilling	1	tide-gauge.txt, 
stones	1	glacier-cairn.txt, 
the	4	glacier-cairn.txt, herbarium-press.txt, letterpress-proof.txt, tide-gauge.txt, 
tide	1	tide-gauge.txt, 
twice	1	tide-gauge.txt, 
tympan	1	letterpress-proof.txt, 
type	1	letterpress-proof.txt, 
under	1	glacier-cairn.txt, 
voucher	1	herbarium-press.txt, 
water	1	tide-gauge.txt, 
well	1	tide-gauge.txt, 
