# output/tfidf/carroll-alice.txt  (20 shown)
rank  term         score
   1  alice        0.0259567803903
   2  gryphon      0.00454723629416
   3  dormouse     0.00424159010227
   4  duchess      0.00424159010227
   5  hatter       0.00370811148433
   6  turtle       0.00316933828339
   7  caterpillar  0.00182034563776
   8  rabbit       0.0017775560059
   9  alices       0.00130510464685
  10  herself      0.0012663156221
  11  soup         0.00121356375851
  12  mouse        0.00115951791903
  13  hare         0.00110168234023
  14  dodo         0.00107480130589
  15  im           0.00105625977011
  16  mock         0.00103772889696
  17  jury         0.000962120550316
  18  dinah        0.000909447258831
  19  tone         0.000884687936337
  20  whiting      0.000870069764568
