# output/tfidf/austen-emma.txt  (20 shown)
rank  term       score
   1  emma       0.0104321493626
   2  harriet    0.00712652352809
   3  weston     0.00698033843008
   4  knightley  0.00613977411651
   5  elton      0.00579258450873
   6  mr         0.00417681703514
   7  fairfax    0.00367290058756
   8  woodhouse  0.00365333592858
   9  mrs        0.00352208336625
  10  jane       0.00308111581801
  11  hartfield  0.00279578999948
  12  churchill  0.00262540110457
  13  highbury   0.00222932274469
  14  bates      0.00166692133624
  15  randalls   0.00160803607813
  16  eltons     0.00157148980363
  17  harriets   0.00157148980363
  18  have       0.00151688732008
  19  emmas      0.00140703156837
  20  frank      0.00133353706899
