# output/tfidf/shakespeare-hamlet.txt  (20 shown)
rank  term     score
   1  ham      0.014075278161
   2  haue     0.0102239364542
   3  hor      0.00680610175901
   4  qu       0.00584313309823
   5  laer     0.00565464493377
   6  ophe     0.00527766860485
   7  pol      0.00461796002924
   8  rosin    0.00405249553587
   9  selfe    0.00391430709962
  10  loue     0.00379746211157
  11  horatio  0.00376976328918
  12  vs       0.0036221946295
  13  hamlet   0.00358215882053
  14  polon    0.00358127512472
  15  giue     0.00344692714743
  16  doe      0.00292112470121
  17  vpon     0.00292112470121
  18  ile      0.00284445169432
  19  queene   0.00279408388001
  20  clo      0.00273307838466
