# output/tfidf/shakespeare-macbeth.txt  (20 shown)
rank  term      score
   1  macb      0.0215558481672
   2  haue      0.0118995457401
   3  macbeth   0.00975520136035
   4  macd      0.00912583353065
   5  rosse     0.00770975591382
   6  vpon      0.00565716108956
   7  vs        0.00536454930907
   8  banquo    0.00534962655245
   9  lenox     0.0044055748079
  10  mal       0.00393354893562
  11  thane     0.00393354893562
  12  banq      0.0037762069782
  13  doe       0.00370641588626
  14  feare     0.00341380410577
  15  cawdor    0.00330418110592
  16  doct      0.0031468391485
  17  selfe     0.00312119232527
  18  ile       0.00286568910654
  19  macduffe  0.00283215523365
  20  vp        0.00253596876429
