# output/tfidf/melville-moby_dick.txt  (20 shown)
rank  term       score
   1  whale      0.00494342884616
   2  ahab       0.00432161389696
   3  sperm      0.00325826997338
   4  stubb      0.00309467482828
   5  queequeg   0.00287654796813
   6  whales     0.00275965788743
   7  starbuck   0.00230396496026
   8  pequod     0.00164958437983
   9  nantucket  0.0012951282321
  10  boats      0.00126986828239
  11  whaling    0.001171084821
  12  moby       0.00107700137196
  13  captain    0.000961187804035
  14  deck       0.00095459520401
  15  whalemen   0.000913406226848
  16  ship       0.000889651125833
  17  pip        0.000872507440572
  18  fishery    0.000817975725536
  19  boat       0.000804259182968
  20  flask      0.00080285806398
