word 	 #docs it exists in 	 doc names
a	3	baking.txt, cats.txt, dogs.txt, 
accident	1	cats.txt, 
across	2	cats.txt, dogs.txt, 
afternoon	2	cats.txt, dogs.txt, 
all	1	baking.txt, 
also	2	cats.txt, dogs.txt, 
an	2	cats.txt, dogs.txt, 
and	3	baking.txt, cats.txt, dogs.txt, 
bake	1	baking.txt, 
baker	1	baking.txt, 
bakers	1	baking.txt, 
ball	2	cats.txt, dogs.txt, 
bark	1	dogs.txt, 
before	1	baking.txt, 
bread	1	baking.txt, 
brown	1	baking.txt, 
cat	1	cats.txt, 
cats	1	cats.txt, 
chase	2	cats.txt, dogs.txt, 
crust	1	baking.txt, 
dog	1	dogs.txt, 
dogs	1	dogs.txt, 
dough	1	baking.txt, 
ears	1	dogs.txt, 
every	1	baking.txt, 
fills	2	cats.txt, dogs.txt, 
floor	1	cats.txt, 
floppy	1	dogs.txt, 
flour	1	baking.txt, 
for	2	cats.txt, dogs.txt, 
fur	2	cats.txt, dogs.txt, 
garden	1	dogs.txt, 
happy	2	cats.txt, dogs.txt, 
has	3	baking.txt, cats.txt, dogs.txt, 
hours	2	cats.txt, dogs.txt, 
hunt	1	cats.txt, 
in	2	cats.txt, dogs.txt, 
into	1	baking.txt, 
invitation	1	dogs.txt, 
is	3	baking.txt, cats.txt, dogs.txt, 
kitchen	1	cats.txt, 
knead	1	baking.txt, 
loaves	1	baking.txt, 
make	1	baking.txt, 
morning	1	baking.txt, 
nap	2	cats.txt, dogs.txt, 
of	2	cats.txt, dogs.txt, 
on	2	baking.txt, cats.txt, 
oven	1	baking.txt, 
ovens	1	baking.txt, 
patch	2	cats.txt, dogs.txt, 
pretend	2	cats.txt, dogs.txt, 
purr	1	cats.txt, 
room	1	cats.txt, 
same	2	cats.txt, dogs.txt, 
sharp	1	cats.txt, 
sleeve	1	baking.txt, 
sofa	1	cats.txt, 
soft	2	cats.txt, dogs.txt, 
stay	1	baking.txt, 
sun	2	cats.txt, dogs.txt, 
sunny	2	cats.txt, dogs.txt, 
that	3	baking.txt, cats.txt, dogs.txt, 
the	3	baking.txt, cats.txt, dogs.txt, 
then	2	cats.txt, dogs.txt, 
they	1	baking.txt, 
throw	1	dogs.txt, 
turns	1	baking.txt, 
two	1	baking.txt, 
until	1	baking.txt, 
warm	1	baking.txt, 
was	2	cats.txt, dogs.txt, 
water	1	baking.txt, 
whiskers	1	cats.txt, 
whole	3	baking.txt, cats.txt, dogs.txt, 
will	2	cats.txt, dogs.txt, 
yard	1	dogs.txt, 
yarn	1	cats.txt, 
