word	#docs it exists in	doc names
and	4	01-bakery-morning.txt, 02-ridge-trail.txt, 03-bakery-afternoon.txt, 04-rehearsal-room.txt,
baker	2	01-bakery-morning.txt, 03-bakery-afternoon.txt,
bread	2	01-bakery-morning.txt, 03-bakery-afternoon.txt,
climbed	1	02-ridge-trail.txt,
cracked	1	01-bakery-morning.txt,
followed	2	02-ridge-trail.txt, 04-rehearsal-room.txt,
heated	1	03-bakery-afternoon.txt,
hiker	1	02-ridge-trail.txt,
oven	1	03-bakery-afternoon.txt,
rose	2	03-bakery-afternoon.txt, 04-rehearsal-room.txt,
scored	1	01-bakery-morning.txt,
singer	1	04-rehearsal-room.txt,
song	1	04-rehearsal-room.txt,
the	4	01-bakery-morning.txt, 02-ridge-trail.txt, 03-bakery-afternoon.txt, 04-rehearsal-room.txt,
trail	1	02-ridge-trail.txt,
