term	df
a	3
above	1
added	1
against	1
and	1
at	1
became	1
bees	1
bells	1
bench	1
bloomed	1
board	1
boat	1
by	1
carpenter	1
cluster	1
cook	1
covered	1
drift	1
faint	1
felt	1
fence	1
flared	1
fog	1
found	1
from	1
gardener	1
harbor	1
hill	1
in	1
kept	1
need	1
needs	1
night	1
noon	1
oak	1
on	2
pier	1
planed	1
quiet	1
rang	1
rocked	1
rose	1
roses	1
sailor	1
salt	1
sanded	1
sawdust	1
settled	1
shelf	1
simmered	1
smiled	1
smooth	1
soup	1
stars	1
steam	1
stirred	1
stove	1
sun	1
tasted	1
telescope	1
the	5
tied	1
time	1
to	1
tracked	1
until	1
visited	1
waited	1
watched	1
watered	1
while	1
wrapped	1
