word	#docs it exists in	doc names
a	5	harbor-cats.txt, kitchen-garden.txt, sourdough-baking.txt, trail-dogs.txt, winter-constellations.txt
after	1	sourdough-baking.txt
again	1	sourdough-baking.txt
against	1	harbor-cats.txt
almost	1	sourdough-baking.txt
an	1	sourdough-baking.txt
and	5	harbor-cats.txt, kitchen-garden.txt, sourdough-baking.txt, trail-dogs.txt, winter-constellations.txt
another	2	kitchen-garden.txt, sourdough-baking.txt
answers	2	kitchen-garden.txt, trail-dogs.txt
appear	1	kitchen-garden.txt
argue	1	kitchen-garden.txt
arrive	1	harbor-cats.txt
as	2	trail-dogs.txt, winter-constellations.txt
at	3	harbor-cats.txt, kitchen-garden.txt, trail-dogs.txt
backyard	1	winter-constellations.txt
bait	1	harbor-cats.txt
baker	1	sourdough-baking.txt
bakers	1	kitchen-garden.txt
baking	1	sourdough-baking.txt
ball	1	sourdough-baking.txt
bark	1	trail-dogs.txt
basil	1	kitchen-garden.txt
basket	1	kitchen-garden.txt
be	1	sourdough-baking.txt
beacon	1	winter-constellations.txt
beans	1	kitchen-garden.txt
become	1	sourdough-baking.txt
becomes	1	sourdough-baking.txt
bed	1	kitchen-garden.txt
before	2	sourdough-baking.txt, winter-constellations.txt
below	1	winter-constellations.txt
belt	1	winter-constellations.txt
between	2	harbor-cats.txt, kitchen-garden.txt
block	1	trail-dogs.txt
boat	1	harbor-cats.txt
breadcrumbs	1	sourdough-baking.txt
brick	1	kitchen-garden.txt
briefly	1	winter-constellations.txt
bright	2	trail-dogs.txt, winter-constellations.txt
burrs	1	trail-dogs.txt
but	1	kitchen-garden.txt
by	2	harbor-cats.txt, trail-dogs.txt
calm	1	harbor-cats.txt
can	1	kitchen-garden.txt
canine	1	trail-dogs.txt
caramel	1	sourdough-baking.txt
cats	1	harbor-cats.txt
chews	1	trail-dogs.txt
chorus	1	trail-dogs.txt
claim	1	kitchen-garden.txt
claims	1	harbor-cats.txt
climb	1	trail-dogs.txt
clock	1	sourdough-baking.txt
coil	1	harbor-cats.txt
cold	1	winter-constellations.txt
comma	1	harbor-cats.txt
complete	1	winter-constellations.txt
compost	1	kitchen-garden.txt
constellations	1	winter-constellations.txt
cook	1	kitchen-garden.txt
cool	1	sourdough-baking.txt
counter	1	sourdough-baking.txt
crate	1	harbor-cats.txt
creak	1	harbor-cats.txt
crumb	1	sourdough-baking.txt
crumbs	1	kitchen-garden.txt
crust	1	sourdough-baking.txt
curls	1	harbor-cats.txt
dark	1	winter-constellations.txt
dawn	1	harbor-cats.txt
dirt	1	kitchen-garden.txt
distant	2	trail-dogs.txt, winter-constellations.txt
dock	1	harbor-cats.txt
does	1	kitchen-garden.txt
dog	2	kitchen-garden.txt, trail-dogs.txt
dogs	1	trail-dogs.txt
dough	1	sourdough-baking.txt
dusk	1	kitchen-garden.txt
dutch	1	sourdough-baking.txt
early	1	winter-constellations.txt
emptied	1	kitchen-garden.txt
entirely	1	trail-dogs.txt
every	2	harbor-cats.txt, kitchen-garden.txt
example	1	trail-dogs.txt
eyes	1	trail-dogs.txt
feed	2	kitchen-garden.txt, sourdough-baking.txt
feel	1	winter-constellations.txt
feet	1	winter-constellations.txt
feline	1	harbor-cats.txt
fence	1	kitchen-garden.txt
fern	1	trail-dogs.txt
fetch	1	trail-dogs.txt
finds	1	winter-constellations.txt
fingernail	1	kitchen-garden.txt
first	3	harbor-cats.txt, sourdough-baking.txt, trail-dogs.txt
fishermen	1	harbor-cats.txt
flour	1	sourdough-baking.txt
flower	1	kitchen-garden.txt
foams	1	sourdough-baking.txt
follows	1	winter-constellations.txt
for	2	trail-dogs.txt, winter-constellations.txt
form	1	sourdough-baking.txt
from	2	kitchen-garden.txt, trail-dogs.txt
frost	1	winter-constellations.txt
frozen	1	winter-constellations.txt
fur	1	harbor-cats.txt
game	1	trail-dogs.txt
garden	1	kitchen-garden.txt
gemini	1	winter-constellations.txt
gives	1	sourdough-baking.txt
gluten	1	sourdough-baking.txt
gray	1	harbor-cats.txt
gull	1	harbor-cats.txt
handful	1	kitchen-garden.txt
harbor	1	harbor-cats.txt
harvest	1	kitchen-garden.txt
her	1	harbor-cats.txt
here	1	trail-dogs.txt
hikers	1	trail-dogs.txt
hot	1	sourdough-baking.txt
hound	1	trail-dogs.txt
hour	1	winter-constellations.txt
hours	1	harbor-cats.txt
hunts	1	harbor-cats.txt
if	1	trail-dogs.txt
in	3	kitchen-garden.txt, sourdough-baking.txt, winter-constellations.txt
into	2	harbor-cats.txt, trail-dogs.txt
is	2	kitchen-garden.txt, trail-dogs.txt
it	1	kitchen-garden.txt
its	1	sourdough-baking.txt
jar	1	sourdough-baking.txt
keep	1	harbor-cats.txt
kitchen	1	kitchen-garden.txt
knead	1	sourdough-baking.txt
knows	1	harbor-cats.txt
lake	1	winter-constellations.txt
last	3	harbor-cats.txt, kitchen-garden.txt, trail-dogs.txt
later	1	harbor-cats.txt
leads	1	trail-dogs.txt
leaf	1	kitchen-garden.txt
lean	1	harbor-cats.txt
leash	1	trail-dogs.txt
leashfree	1	trail-dogs.txt
leave	1	harbor-cats.txt
leftover	2	kitchen-garden.txt, sourdough-baking.txt
like	2	sourdough-baking.txt, winter-constellations.txt
live	1	trail-dogs.txt
loaf	1	sourdough-baking.txt
logs	1	winter-constellations.txt
long	1	sourdough-baking.txt
loud	1	sourdough-baking.txt
low	1	trail-dogs.txt
magnitude	1	winter-constellations.txt
map	1	winter-constellations.txt
market	1	harbor-cats.txt
means	1	sourdough-baking.txt
meteor	1	winter-constellations.txt
milk	1	harbor-cats.txt
mint	1	kitchen-garden.txt
morning	1	sourdough-baking.txt
moths	1	harbor-cats.txt
mountain	1	trail-dogs.txt
much	1	trail-dogs.txt
mud	1	trail-dogs.txt
mulch	1	kitchen-garden.txt
names	1	winter-constellations.txt
near	1	harbor-cats.txt
