word 	 #docs it exists in 	 doc names
a	4	bakery.txt, cats.txt, harbor.txt, observatory.txt, 
across	1	harbor.txt, 
after	1	cats.txt, 
again	1	cats.txt, 
against	2	cats.txt, harbor.txt, 
and	4	bakery.txt, cats.txt, harbor.txt, observatory.txt, 
another	1	bakery.txt, 
arm	1	observatory.txt, 
as	1	bakery.txt, 
astronomer	1	observatory.txt, 
at	1	observatory.txt, 
back	1	harbor.txt, 
baker	1	bakery.txt, 
bar	1	harbor.txt, 
batch	1	bakery.txt, 
be	2	harbor.txt, observatory.txt, 
before	2	bakery.txt, harbor.txt, 
behind	1	bakery.txt, 
bench	1	bakery.txt, 
beside	1	cats.txt, 
blinked	1	harbor.txt, 
boards	1	cats.txt, 
bought	1	bakery.txt, 
brushed	2	bakery.txt, cats.txt, 
burned	1	cats.txt, 
by	1	cats.txt, 
calico	1	cats.txt, 
canvas	1	harbor.txt, 
capped	1	observatory.txt, 
cat	1	cats.txt, 
channel	1	harbor.txt, 
circled	1	cats.txt, 
clear	1	observatory.txt, 
cleared	1	harbor.txt, 
clicked	1	cats.txt, 
closed	1	observatory.txt, 
coiled	1	harbor.txt, 
comet	1	observatory.txt, 
cooled	1	bakery.txt, 
covered	1	bakery.txt, 
cracked	1	bakery.txt, 
crew	1	harbor.txt, 
crouched	1	cats.txt, 
crust	1	bakery.txt, 
curled	1	cats.txt, 
damp	1	observatory.txt, 
dark	1	harbor.txt, 
dawn	2	bakery.txt, observatory.txt, 
deck	1	harbor.txt, 
deeper	1	harbor.txt, 
did	1	cats.txt, 
dome	1	observatory.txt, 
door	2	bakery.txt, cats.txt, 
drifted	2	harbor.txt, observatory.txt, 
dusk	1	cats.txt, 
dust	1	bakery.txt, 
edge	1	observatory.txt, 
escape	1	cats.txt, 
eye	1	cats.txt, 
eyepiece	1	observatory.txt, 
faint	1	observatory.txt, 
fed	1	bakery.txt, 
field	1	observatory.txt, 
filmed	1	observatory.txt, 
first	2	bakery.txt, cats.txt, 
flour	1	bakery.txt, 
fogged	1	bakery.txt, 
followed	1	harbor.txt, 
footprints	1	bakery.txt, 
for	1	bakery.txt, 
from	1	bakery.txt, 
frost	1	observatory.txt, 
garden	1	cats.txt, 
glass	1	cats.txt, 
glow	1	observatory.txt, 
gulls	1	harbor.txt, 
harbor	1	harbor.txt, 
heading	1	harbor.txt, 
hedge	1	cats.txt, 
held	1	observatory.txt, 
hull	1	harbor.txt, 
hunted	1	cats.txt, 
in	4	bakery.txt, cats.txt, harbor.txt, observatory.txt, 
insects	1	cats.txt, 
into	1	cats.txt, 
it	1	bakery.txt, 
its	2	harbor.txt, observatory.txt, 
kelp	1	harbor.txt, 
kept	2	cats.txt, harbor.txt, 
lantern	1	cats.txt, 
later	1	cats.txt, 
leaned	1	harbor.txt, 
leap	1	cats.txt, 
leaped	1	cats.txt, 
left	2	bakery.txt, harbor.txt, 
licked	1	cats.txt, 
lighthouse	1	harbor.txt, 
loaves	1	bakery.txt, 
lock	1	observatory.txt, 
logged	1	observatory.txt, 
lower	1	cats.txt, 
mainsail	1	harbor.txt, 
miso	1	cats.txt, 
missed	1	cats.txt, 
morning	2	bakery.txt, harbor.txt, 
moth	1	cats.txt, 
moths	1	cats.txt, 
near	1	observatory.txt, 
nebula	1	observatory.txt, 
neighbor	1	bakery.txt, 
next	1	observatory.txt, 
night	2	cats.txt, observatory.txt, 
noon	1	harbor.txt, 
not	1	cats.txt, 
notebook	1	observatory.txt, 
observatory	1	observatory.txt, 
of	1	bakery.txt, 
on	3	cats.txt, harbor.txt, observatory.txt, 
once	1	cats.txt, 
one	2	cats.txt, observatory.txt, 
only	1	cats.txt, 
onto	1	observatory.txt, 
open	1	harbor.txt, 
opened	1	observatory.txt, 
oven	1	bakery.txt, 
packed	1	harbor.txt, 
pale	1	harbor.txt, 
past	2	harbor.txt, observatory.txt, 
path	1	observatory.txt, 
paw	1	cats.txt, 
piling	1	harbor.txt, 
pilings	1	harbor.txt, 
porch	1	cats.txt, 
pressed	1	harbor.txt, 
rack	1	bakery.txt, 
return	2	harbor.txt, observatory.txt, 
ridge	1	observatory.txt, 
roared	1	bakery.txt, 
rope	1	harbor.txt, 
round	1	bakery.txt, 
rye	1	bakery.txt, 
sand	1	harbor.txt, 
sang	1	bakery.txt, 
schooner	1	harbor.txt, 
scored	1	bakery.txt, 
second	2	bakery.txt, cats.txt, 
set	1	bakery.txt, 
shaped	1	bakery.txt, 
shook	1	observatory.txt, 
shop	1	bakery.txt, 
shrank	1	harbor.txt, 
slapped	1	harbor.txt, 
slats	1	observatory.txt, 
slid	1	bakery.txt, 
so	1	harbor.txt, 
sourdough	1	bakery.txt, 
spare	1	harbor.txt, 
split	1	bakery.txt, 
starter	1	bakery.txt, 
steam	1	bakery.txt, 
still	1	observatory.txt, 
stone	1	bakery.txt, 
street	1	bakery.txt, 
swell	1	harbor.txt, 
tail	2	cats.txt, observatory.txt, 
telescope	1	observatory.txt, 
the	4	bakery.txt, cats.txt, harbor.txt, observatory.txt, 
them	1	harbor.txt, 
then	1	cats.txt, 
there	1	observatory.txt, 
thinned	1	cats.txt, 
tick	1	harbor.txt, 
ticking	1	cats.txt, 
tide	1	harbor.txt, 
tidewater	1	harbor.txt, 
to	2	bakery.txt, harbor.txt, 
took	1	harbor.txt, 
toward	2	bakery.txt, harbor.txt, 
tracked	1	observatory.txt, 
tucked	1	observatory.txt, 
under	1	observatory.txt, 
vanished	1	cats.txt, 
waited	1	cats.txt, 
wake	1	harbor.txt, 
walked	1	observatory.txt, 
warm	2	bakery.txt, cats.txt, 
watched	1	cats.txt, 
water	1	harbor.txt, 
wet	1	harbor.txt, 
when	1	bakery.txt, 
where	1	cats.txt, 
while	2	harbor.txt, observatory.txt, 
wind	2	harbor.txt, observatory.txt, 
window	1	bakery.txt, 
with	1	observatory.txt, 
would	2	harbor.txt, observatory.txt, 
wrapped	1	harbor.txt, 
